City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.18,96,60,0.73,GS,1699738390
1,golfito,8.639,-83.166,26.27,93,100,0.92,CR,1699738882
2,zheleznogorsk-ilimskiy,56.5768,104.1217,-14.24,95,17,1.34,RU,1699738882
3,vorkuta,67.5,64.0,-6.61,97,100,3.83,RU,1699738882
4,miranda,3.2499,-76.2281,30.07,84,85,0.91,CO,1699738883
5,tura,25.5198,90.2201,17.81,88,0,1.74,IN,1699738438
6,naze,28.3667,129.4833,15.51,85,99,7.32,JP,1699738423
7,nova sintra,14.8667,-24.7167,22.87,70,50,4.45,CV,1699738397
8,forster,-32.1667,152.5167,25.77,70,24,2.47,AU,1699738883
9,jamestown,42.097,-79.2353,6.4,75,100,3.6,US,1699738243
10,kasongo,-4.45,26.6667,20.61,90,100,0.73,CD,1699738884
11,strelka,58.0728,93.0344,-5.5,90,100,1.37,RU,1699738420
12,brezina,33.0989,1.2608,16.35,53,8,3.12,DZ,1699738884
13,whitehorse,60.7161,-135.0538,0.01,92,75,3.09,CA,1699738452
14,ewo,-0.8725,14.8206,22.3,94,98,1.66,CG,1699738884
15,puerto natales,-51.7236,-72.4875,6.81,55,75,4.91,CL,1699738295
16,port-aux-francais,-49.35,70.2167,2.92,69,9,7.77,TF,1699738389
17,utrik,11.2278,169.8474,27.45,85,99,8.04,MH,1699738462
18,waitangi,-43.9535,-176.5597,13.23,79,2,4.02,NZ,1699738373
19,boguchany,58.3814,97.4531,-9.07,81,77,0.97,RU,1699738885
20,albany,42.6001,-73.9662,5.65,61,3,4.47,US,1699738323
21,suva,-18.1416,178.4415,23.71,94,75,4.63,FJ,1699738543
22,undurkhaan,47.3194,110.6556,-18.56,92,5,2.02,MN,1699738725
23,iqaluit,63.7506,-68.5145,-10.15,85,75,6.17,CA,1699738430
24,laguna,38.421,-121.4238,23.08,36,0,2.57,US,1699738853
25,'alaqahdari dishu,30.4374,63.313,17.32,34,100,2.79,AF,1699738886
26,saint-philippe,-21.3585,55.7679,22.77,85,28,4.47,RE,1699738411
27,severo-yeniseyskiy,60.3725,93.0408,-6.9,95,100,0.89,RU,1699738805
28,college,64.8569,-147.8028,-9.03,84,75,2.57,US,1699738484
29,badger,64.8,-147.5333,-9.07,87,75,2.57,US,1699738395
30,keflavik,64.0049,-22.5624,3.24,81,75,7.2,IS,1699738633
31,haiku-pauwela,20.9219,-156.3051,28.43,55,40,9.77,US,1699738476
32,broken hill,-31.95,141.4333,19.52,28,24,7.83,AU,1699738724
33,yeppoon,-23.1333,150.7333,21.88,67,90,5.14,AU,1699738887
34,yellowknife,62.456,-114.3525,0.79,99,100,2.06,CA,1699738390
35,madimba,-10.4,40.3333,25.57,88,56,3.59,TZ,1699738887
36,gao,16.6362,1.637,26.67,10,2,5.45,ML,1699738652
37,huarmey,-10.0681,-78.1522,21.94,75,17,5.86,PE,1699738888
38,masterton,-40.9597,175.6575,17.07,56,13,3.86,NZ,1699738888
39,el granada,37.5027,-122.4694,24.37,64,0,6.69,US,1699738850
40,fisterra,42.9049,-9.2629,18.34,89,83,8.31,ES,1699738566
41,margaret river,-33.95,115.0667,11.44,75,43,6.19,AU,1699738440
42,blackmans bay,-43.0167,147.3167,11.07,68,100,0.89,AU,1699738370
43,happy valley-goose bay,53.3168,-60.3315,-2.83,74,75,1.03,CA,1699738544
44,adamstown,-25.066,-130.1015,22.96,81,27,5.96,PN,1699738394
45,iskateley,67.6803,53.1512,-8.88,95,22,3.13,RU,1699738469
46,edinburgh of the seven seas,-37.0676,-12.3116,14.23,84,63,7.91,SH,1699738384
47,itoman,26.1247,127.6694,20.21,100,75,8.23,JP,1699738889
48,mitu,1.1983,-70.1733,24.98,94,81,1.15,CO,1699738889
49,bethel,41.3712,-73.414,10.42,59,100,2.06,US,1699738387
50,invercargill,-46.4,168.35,16.68,56,100,8.05,NZ,1699738290
51,gunjur,13.2019,-16.7339,27.04,74,49,0.0,GM,1699738890
52,nadym,65.5333,72.5167,0.27,98,100,4.84,RU,1699738622
53,bilibino,68.0546,166.4372,-30.65,99,26,2.04,RU,1699738441
54,olonkinbyen,70.9221,-8.7187,1.28,89,93,4.78,SJ,1699738391
55,blythe,33.6103,-114.5964,26.25,11,0,3.09,US,1699738605
56,christchurch,-43.5333,172.6333,21.38,60,78,2.06,NZ,1699738890
57,bredasdorp,-34.5322,20.0403,15.75,80,37,3.71,ZA,1699738409
58,sitka,57.0531,-135.33,4.94,81,75,4.63,US,1699738420
59,chonchi,-42.6128,-73.8092,8.4,81,77,4.59,CL,1699738551
60,la penita de jaltomba,21.0333,-105.25,29.94,72,22,2.07,MX,1699738891
61,kodiak,57.79,-152.4072,2.73,52,100,8.75,US,1699738449
62,barcelona,41.3888,2.159,16.19,85,63,2.38,ES,1699738668
63,edgewater,28.9889,-80.9023,27.28,86,40,2.57,US,1699738892
64,anadyr,64.75,177.4833,-16.72,84,20,3.0,RU,1699738380
65,miranda do douro,41.4969,-6.2731,14.34,92,100,8.25,PT,1699738892
66,fengxiang,47.5833,130.8333,-16.89,88,6,3.56,CN,1699738892
67,viedma,-40.8135,-62.9967,25.87,22,80,11.55,AR,1699738892
68,kowon-up,39.4381,127.2431,-1.76,50,0,1.98,KP,1699738892
69,port mathurin,-19.6833,63.4167,24.92,79,9,1.74,MU,1699738367
70,katsuura,35.1333,140.3,14.17,87,100,5.46,JP,1699738687
71,lerwick,60.1545,-1.1494,5.0,75,100,5.83,GB,1699738893
72,tiksi,71.6872,128.8694,-11.04,91,100,5.43,RU,1699738431
73,lebu,-37.6167,-73.65,10.65,54,24,5.81,CL,1699738311
74,rio grande,-32.035,-52.0986,24.06,89,63,3.69,BR,1699738577
75,tolanaro,-25.0319,46.9987,22.04,68,20,5.14,MG,1699738501
76,kristiansund,63.1115,7.732,2.36,69,75,2.57,NO,1699738894
77,portland,45.5234,-122.6762,13.65,88,100,4.63,US,1699738250
78,lewistown,40.5992,-77.5714,10.41,75,100,0.0,US,1699738894
79,greve,55.5833,12.3,6.8,99,100,0.51,DK,1699738894
80,vila franca do campo,37.7167,-25.4333,21.05,99,10,2.96,PT,1699738894
81,wailua homesteads,22.0669,-159.378,28.24,77,100,5.14,US,1699738479
82,west island,-12.1568,96.8225,25.99,83,99,4.12,CC,1699738529
83,cill airne,52.05,-9.5167,8.39,92,100,7.83,IE,1699738895
84,avarua,-21.2078,-159.775,24.03,83,75,3.6,CK,1699738476
85,remire-montjoly,4.9167,-52.2667,27.36,81,6,6.28,GF,1699738538
86,ushuaia,-54.8,-68.3,6.81,61,40,3.6,AR,1699738327
87,san patricio,28.017,-97.5169,15.97,88,100,3.03,US,1699738483
88,fale old settlement,-9.3852,-171.2468,28.77,74,96,3.0,TK,1699738428
89,ribeira brava,32.65,-17.0667,22.35,80,100,2.53,PT,1699738896
90,kariba,-16.5167,28.8,26.02,49,41,3.56,ZW,1699738896
91,papatowai,-46.5619,169.4708,15.95,48,100,6.96,NZ,1699738461
92,novodvinsk,64.4165,40.8122,-7.34,98,62,1.04,RU,1699738553
93,hammerfest,70.6634,23.6821,-2.75,74,0,1.03,NO,1699738499
94,rongelap,11.1635,166.8941,27.44,82,99,7.58,MH,1699738466
95,port shepstone,-30.7414,30.455,20.54,85,100,8.35,ZA,1699738897
96,ghatanji,20.1333,78.3167,21.93,54,89,1.85,IN,1699738897
97,codrington,-38.2667,141.9667,14.35,53,79,6.43,AU,1699738533
98,alo,7.4178,6.7371,25.71,79,69,2.16,NG,1699738816
99,goondiwindi,-28.55,150.3167,23.21,58,18,5.46,AU,1699738897
100,saipan,15.1355,145.701,28.39,78,40,8.75,MP,1699738450
101,sehwan,26.4279,67.863,21.81,22,0,0.96,PK,1699738898
102,kumeny,58.1089,49.9161,0.11,82,98,3.24,RU,1699738898
103,buka,40.8108,69.1986,10.14,82,98,3.25,UZ,1699738465
104,colonia,50.9333,6.95,6.6,88,40,1.54,DE,1699738492
105,vernon,50.2581,-119.2691,12.34,60,97,5.36,CA,1699738660
106,zarghun shahr,32.8473,68.4457,3.93,38,31,1.46,AF,1699738899
107,tanque verde,32.2517,-110.7373,24.56,26,0,5.36,US,1699738899
108,zhaoyuan,37.3592,120.3964,2.24,74,97,1.98,CN,1699738899
109,tuy hoa,13.0833,109.3,24.52,92,100,2.2,VN,1699738733
110,lompoc,34.6391,-120.4579,28.77,27,0,6.17,US,1699738614
111,touros,-5.1989,-35.4608,25.73,75,4,5.85,BR,1699738505
112,ca mau,9.1769,105.15,25.06,94,62,2.33,VN,1699738899
113,glace bay,46.1969,-59.957,4.32,78,40,4.12,CA,1699738900
114,nar'yan-mar,67.6713,53.087,-8.83,95,19,3.13,RU,1699738812
115,grandview,38.8858,-94.533,13.99,49,100,3.6,US,1699738800
116,rawson,-43.3002,-65.1023,17.53,37,97,16.53,AR,1699738900
117,hovd,48.0056,91.6419,-5.84,98,99,0.66,MN,1699738777
118,sakhnovshchyna,49.1517,35.872,8.7,74,94,9.04,UA,1699738900
119,port elizabeth,-33.918,25.5701,18.51,69,3,3.13,ZA,1699738404
120,east london,-33.0153,27.9116,19.05,74,62,7.47,ZA,1699738543
121,afaahiti,-17.75,-149.2833,29.93,81,80,6.05,PF,1699738499
122,raduzhny,62.0961,77.475,0.49,98,99,3.39,RU,1699738902
123,qamdo,31.1667,97.2333,-4.59,59,83,1.85,CN,1699738430
124,berezovyy,51.6667,135.7,-11.05,57,7,2.52,RU,1699738902
125,nova vicosa,-17.8919,-39.3719,25.64,76,1,7.7,BR,1699738407
126,bugana,7.9992,7.5836,27.18,69,23,2.14,NG,1699738903
127,tahoua,14.8888,5.2692,28.99,16,0,2.06,NE,1699738903
128,al bawiti,28.3492,28.8659,20.63,64,96,0.45,EG,1699738444
129,new norfolk,-42.7826,147.0587,11.72,58,96,2.81,AU,1699738480
130,port alfred,-33.5906,26.891,17.88,85,33,2.24,ZA,1699738528
131,usogorsk,63.4106,48.6872,0.37,96,99,2.05,RU,1699738904
132,bukama,-9.2,25.85,21.21,96,97,1.1,CD,1699738904
133,swakopmund,-22.6833,14.5333,15.66,87,99,2.69,NA,1699738406
134,novomyrhorod,48.7811,31.642,11.37,93,100,6.11,UA,1699738905
135,mejit,10.2753,170.8646,28.08,80,100,7.44,MH,1699738631
136,chabahar,25.2919,60.643,25.49,57,100,1.3,IR,1699738905
137,georgetown,5.4112,100.3354,25.57,97,20,1.03,MY,1699738443
138,port lincoln,-34.7333,135.8667,13.76,64,99,6.55,AU,1699738692
139,juneau,58.3019,-134.4197,4.67,97,100,3.09,US,1699738679
140,mersa matruh,31.3525,27.2453,20.11,77,40,0.0,EG,1699738906
141,kattivakkam,13.2167,80.3167,27.82,73,94,3.84,IN,1699738906
142,udachny,66.4167,112.4,-9.75,85,84,5.65,RU,1699738487
143,malanje,-9.5402,16.341,18.04,97,86,0.64,AO,1699738906
144,hola prystan',46.5206,32.5258,13.58,89,86,6.94,UA,1699738906
145,campo formoso,-10.5075,-40.3214,25.78,34,0,1.69,BR,1699738842
146,ola,59.5833,151.2833,-18.21,82,9,4.71,RU,1699738485
147,yukhnov,54.7444,35.2297,6.32,90,100,5.15,RU,1699738907
148,pathein,16.7833,94.7333,24.29,88,31,1.62,MM,1699738907
149,tazovsky,67.4667,78.7,-4.16,96,100,5.43,RU,1699738640
150,wewak,-3.5534,143.6268,26.97,84,93,2.89,PG,1699738408
151,talnakh,69.4865,88.3972,-6.55,94,100,4.31,RU,1699738501
152,magadan,59.5667,150.8,-18.36,80,2,3.89,RU,1699738607
153,qaqortoq,60.7167,-46.0333,-3.26,70,54,4.11,GL,1699738419
154,stanley,54.868,-1.6985,4.6,95,75,1.03,GB,1699738449
155,kosh-agach,50.0,88.6667,-8.72,94,97,0.45,RU,1699738908
156,newman,37.3138,-121.0208,21.8,37,68,1.34,US,1699738377
157,alice springs,-23.7,133.8833,25.75,57,5,3.6,AU,1699738286
158,klyuchi,52.2667,79.1667,4.2,80,100,5.45,RU,1699738457
159,kurumkan,54.3,110.3,-9.37,71,42,0.45,RU,1699738909
160,port macquarie,-31.4333,152.9167,24.94,69,10,5.24,AU,1699738909
161,hasaki,35.7333,140.8333,10.22,74,100,6.9,JP,1699738569
162,fort st. john,56.2499,-120.8529,4.94,60,75,5.66,CA,1699738909
163,pattaya,12.9333,100.8833,28.3,82,100,1.48,TH,1699738729
164,el porvenir,13.7617,-87.3458,27.63,80,71,2.0,HN,1699738667
165,prince albert,53.2001,-105.7677,2.97,65,75,6.17,CA,1699738910
166,mogok,22.9167,96.5,14.78,87,0,0.65,MM,1699738910
167,hawaiian paradise park,19.5933,-154.9731,24.85,88,100,3.6,US,1699738398
168,smithers,54.7804,-127.1743,4.18,81,100,1.54,CA,1699738910
169,la passe,45.5549,-0.8967,14.99,95,100,10.13,FR,1699738436
170,constantia,44.1833,28.65,9.38,63,51,11.99,RO,1699738294
171,kununurra,-15.7667,128.7333,23.99,94,40,2.57,AU,1699738690
172,cidreira,-30.1811,-50.2056,22.18,90,100,4.37,BR,1699738595
173,kavaratti,10.5669,72.642,28.79,71,99,1.54,IN,1699738911
174,ciudad bolivar,8.1222,-63.5497,31.78,45,51,2.45,VE,1699738911
175,corinth,37.9407,22.9573,16.61,74,77,3.01,GR,1699738911
176,klina,42.6217,20.5778,9.75,78,0,1.1,XK,1699738912
177,sihanoukville,10.6093,103.5296,25.97,89,40,1.54,KH,1699738912
178,antofagasta,-23.65,-70.4,18.6,71,22,4.43,CL,1699738332
179,choma,-16.8065,26.9531,21.14,32,23,1.51,ZM,1699738912
180,hermanus,-34.4187,19.2345,16.23,80,65,4.09,ZA,1699738435
181,princeville,45.7668,-61.2985,4.06,93,100,1.54,CA,1699738913
182,ornskoldsvik,63.2909,18.7153,-1.47,86,100,5.14,SE,1699738913
183,vilyuchinsk,52.9306,158.4028,1.15,72,58,17.59,RU,1699738443
184,polyarnyy,69.1989,33.4478,-5.71,93,92,2.6,RU,1699738530
185,cuddalore,11.75,79.75,26.72,72,100,4.86,IN,1699738913
186,arar,30.9753,41.0381,20.01,24,0,4.12,SA,1699738913
187,cockburn town,21.4612,-71.1419,28.24,74,90,10.02,TC,1699738499
188,quang ngai,15.1167,108.8,23.62,92,9,1.96,VN,1699738914
189,jean-rabel,19.8533,-73.1917,28.91,68,38,7.65,HT,1699738914
190,santa cruz,-17.8,-63.1667,36.7,43,20,10.29,BO,1699738796
191,fort-shevchenko,44.5086,50.263,8.99,64,18,5.77,KZ,1699738914
192,cabo san lucas,22.8909,-109.9124,30.84,57,0,5.14,MX,1699738205
193,vanimo,-2.6741,141.3028,26.48,89,100,2.18,PG,1699738732
194,cuneo,44.3973,7.5445,6.95,73,41,2.57,IT,1699738915
195,spas-klepiki,55.1347,40.1767,4.96,87,100,3.61,RU,1699738915
196,carnarvon,-24.8667,113.6333,21.31,76,90,5.39,AU,1699738542
197,arteche,12.2645,125.4048,26.15,86,70,1.7,PH,1699738915
198,sittwe,20.15,92.9,22.45,82,5,2.75,MM,1699738915
199,nagqu,31.5,92.0,-5.42,61,100,5.41,CN,1699738737
200,quiberon,47.4841,-3.1196,15.6,94,100,9.83,FR,1699738916
201,tifton,31.4505,-83.5085,15.84,94,100,3.09,US,1699738668
202,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,98,20,8.0,RU,1699738493
203,atar,20.5169,-13.0499,24.98,16,29,3.06,MR,1699738916
204,vohenstrauss,49.6238,12.3381,3.34,91,99,3.72,DE,1699738916
205,chibougamau,49.9168,-74.3659,-4.21,80,100,2.57,CA,1699738862
206,isafjordur,66.0755,-23.124,1.29,87,100,2.34,IS,1699738403
207,leninskoye,41.7589,69.3864,7.3,82,100,5.55,KZ,1699738746
208,kabalo,-6.05,26.9167,20.74,97,98,0.11,CD,1699738917
209,pandan,14.0453,124.1694,26.86,81,98,3.11,PH,1699738917
210,thompson,55.7435,-97.8558,2.09,75,75,3.6,CA,1699738576
211,fagersta,60.0042,15.7932,3.25,96,100,3.6,SE,1699738918
212,al matlin,37.2452,10.05,18.77,70,95,8.82,TN,1699738918
213,lashio,22.9333,97.75,15.1,98,13,0.81,MM,1699738918
214,vadso,70.0744,29.7487,-1.91,86,75,4.12,NO,1699738776
215,longyearbyen,78.2186,15.6401,-2.09,64,75,5.66,SJ,1699738353
216,tendo,38.3536,140.3697,4.48,82,78,0.36,JP,1699738918
217,santa eularia des riu,38.9846,1.5341,22.23,62,0,8.23,ES,1699738919
218,san pedro pochutla,15.7333,-96.4667,32.84,61,24,2.9,MX,1699738919
219,birjand,32.8663,59.2211,8.26,42,0,4.12,IR,1699738919
220,bol'shoy kamen',43.1225,132.3583,-7.35,60,3,5.71,RU,1699738919
221,hadibu,12.65,54.0333,26.53,86,100,6.07,YE,1699738550
222,enewetak,11.3474,162.3373,28.25,76,74,6.65,MH,1699738483
223,weno,7.4515,151.8468,27.97,89,75,2.06,FM,1699738606
224,atafu village,-8.5421,-172.5159,28.82,75,51,3.53,TK,1699738491
225,buritis,-15.6178,-46.4233,31.52,26,89,0.87,BR,1699738920
226,ribeira grande,38.5167,-28.7,20.22,94,75,8.05,PT,1699738482
227,bahawalpur,29.4,71.6833,19.47,49,0,1.18,PK,1699738920
228,puerto ayora,-0.7393,-90.3518,28.98,87,78,4.02,EC,1699738411
229,pula,44.8683,13.8481,5.31,93,21,2.06,HR,1699738920
230,lagoa,39.05,-27.9833,19.03,83,100,8.17,PT,1699738783
231,labrador city,52.9463,-66.9114,-5.05,80,100,6.17,CA,1699738640
232,necochea,-38.5473,-58.7368,17.67,64,1,0.28,AR,1699738921
233,alofi,-19.0595,-169.9187,22.94,94,100,8.75,NU,1699738540
234,andergrove,-21.0833,149.1833,24.8,61,51,6.37,AU,1699738922
235,kashmar,35.2383,58.4656,12.61,51,46,2.77,IR,1699738922
236,erenhot,43.6475,111.9767,-9.64,51,5,3.36,CN,1699738922
237,sao felix do xingu,-6.6447,-51.995,26.99,65,91,1.34,BR,1699738634
238,walvis bay,-22.9575,14.5053,17.53,77,97,0.0,NA,1699738922
239,sestri levante,44.2732,9.3968,13.69,77,85,0.45,IT,1699738923
240,dudinka,69.4058,86.1778,-6.32,96,100,4.02,RU,1699738485
241,sao vicente,-23.9631,-46.3919,37.1,54,0,1.54,BR,1699738833
242,tanumah,27.1,44.1333,20.99,29,21,2.83,SA,1699738923
243,palikir - national government center,6.9248,158.1611,26.41,94,100,1.54,FM,1699738696
244,dedovichi,57.5517,29.9502,6.11,90,100,3.21,RU,1699738924
245,paraiso,9.8383,-83.8656,22.95,97,100,1.5,CR,1699738925
246,mimizan,44.2006,-1.2289,18.47,89,100,10.44,FR,1699738925
247,kill devil hills,36.0307,-75.676,14.99,62,100,3.6,US,1699738925
248,dukhovnitskoye,52.4828,48.2137,4.21,87,45,2.87,RU,1699738926
249,san justo,-30.7891,-60.5919,30.55,46,24,3.58,AR,1699738926
250,contamana,-7.3333,-75.0167,35.65,36,55,1.56,PE,1699738926
251,essaouira,31.5125,-9.77,21.72,56,80,2.06,MA,1699738926
252,zheleznodorozhnyy,55.7503,38.0042,4.64,83,100,4.02,RU,1699738704
253,ilulissat,69.2167,-51.1,-6.99,42,100,3.6,GL,1699738418
254,i-n-salah,27.1935,2.4607,23.12,25,0,4.68,DZ,1699738927
255,tazacorte,28.629,-17.9293,21.75,87,100,5.66,ES,1699738927
256,subiaco,41.9254,13.0941,12.22,80,83,1.79,IT,1699738927
257,kirakira,-10.4544,161.9205,26.95,85,100,4.49,SB,1699738736
258,acapulco de juarez,16.8634,-99.8901,29.59,70,6,2.98,MX,1699738806
259,jingdezhen,29.2947,117.2079,11.24,92,100,2.48,CN,1699738928
260,sisimiut,66.9395,-53.6735,-6.53,89,100,5.9,GL,1699738616
261,khorugh,37.4897,71.553,4.21,47,100,1.01,TJ,1699738928
262,presidente prudente,-22.1256,-51.3889,35.75,24,0,1.03,BR,1699738929
263,oodweyne,9.4092,45.064,22.39,66,100,4.78,SO,1699738929
264,thunder bay,48.4001,-89.3168,1.99,87,100,0.0,CA,1699738778
265,pingzhuang,42.0372,119.2889,-10.61,83,21,1.53,CN,1699738929
266,puerto real,36.5282,-6.1901,17.92,94,0,3.6,ES,1699738929
267,la'ie,21.6477,-157.9253,29.98,74,41,4.02,US,1699738930
268,san antonio de pale,-1.4014,5.6325,26.24,83,100,4.98,GQ,1699738385
269,yuzhno-kurilsk,44.0306,145.8556,2.43,80,38,6.63,RU,1699738578
270,ambodifotatra,-16.9833,49.85,25.06,79,96,9.5,MG,1699738930
271,pirapora,-17.345,-44.9419,28.02,33,62,0.94,BR,1699738930
272,tosontsengel,48.7567,98.2839,-23.96,84,42,0.22,MN,1699738931
273,tsiombe,-25.3,45.4833,20.55,68,0,6.59,MG,1699738670
274,klofta,60.0667,11.15,0.82,100,75,3.6,NO,1699738931
